,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1
0,458989,Female,Yes,36,Yes,Engineer,0,Low,1,Cat_6
1,458994,Male,Yes,37,Yes,Healthcare,8,Average,4,Cat_6
2,458996,Female,Yes,69,No,Retired,0,Low,1,Cat_6
3,459000,Male,Yes,59,No,Executive,11,High,2,Cat_6
4,459001,Female,No,19,No,Marketing,2,Low,4,Cat_6
5,459003,Male,Yes,47,Yes,Doctor,0,High,5,Cat_4
6,459005,Male,Yes,61,Yes,Doctor,5,Low,3,Cat_6
7,459008,Female,Yes,47,Yes,Artist,1,Average,3,Cat_6
8,459013,Male,Yes,50,Yes,Artist,2,Average,4,Cat_6
9,459014,Male,No,19,No,Healthcare,0,Low,4,Cat_6
10,459015,Male,No,22,No,Healthcare,0,Low,3,Cat_6
11,459016,Female,No,22,No,Healthcare,0,Low,6,Cat_6
12,459024,Male,Yes,50,Yes,Artist,1,Average,5,Cat_6
13,459026,Male,No,27,No,Healthcare,8,Low,3,Cat_3
14,459032,Male,No,18,No,Doctor,0,Low,3,Cat_6
15,459033,Female,Yes,61,Yes,Artist,0,Low,1,Cat_6
16,459036,Female,Yes,20,Yes,Lawyer,1,Average,3,Cat_3
17,459039,Male,Yes,45,Yes,Artist,1,Average,2,Cat_6
18,459041,Male,Yes,55,Yes,Artist,8,Low,1,Cat_6
19,459045,Female,Yes,88,Yes,Lawyer,1,Average,4,Cat_6
20,459056,Male,Yes,63,No,Executive,2,High,3,Cat_6
21,459057,Male,Yes,69,No,Lawyer,2,High,2,Cat_6
22,459058,Male,No,42,Yes,Artist,0,Low,4,Cat_3
23,459059,Male,Yes,79,No,Executive,2,High,2,Cat_6
24,459061,Female,Yes,35,Yes,Healthcare,9,High,3,Cat_6
25,459064,Male,Yes,27,No,Executive,5,High,4,Cat_6
26,459065,Male,Yes,52,Yes,Engineer,2,Low,2,Cat_6
27,459074,Female,No,29,Yes,Healthcare,0,Low,4,Cat_4
28,459077,Female,Yes,79,No,Lawyer,1,High,2,Cat_6
29,459079,Male,Yes,87,Yes,Lawyer,2,High,2,Cat_6
30,459080,Male,Yes,89,No,Lawyer,1,Low,2,Cat_6
31,459083,Male,Yes,63,Yes,Artist,9,Average,3,
32,459090,Male,No,31,No,Artist,1,Low,2,Cat_6
33,459091,Male,Yes,72,Yes,Artist,1,Average,6,Cat_1
34,459093,Female,Yes,41,Yes,Doctor,9,Average,2,
35,459100,Female,No,61,Yes,Artist,11,Low,1,Cat_6
36,459106,Male,Yes,62,Yes,Artist,0,Low,2,Cat_6
37,459114,Male,Yes,56,Yes,Artist,1,Average,2,Cat_6
38,459116,Male,Yes,60,Yes,Artist,2,Average,5,Cat_6
39,459117,Male,Yes,68,Yes,Artist,0,High,2,Cat_6
40,459118,Male,No,19,No,Healthcare,2,Low,8,Cat_6
41,459119,Male,Yes,57,Yes,Executive,8,High,3,Cat_6
42,459120,Male,No,19,No,Healthcare,5,Low,5,Cat_2
43,459121,Female,Yes,51,Yes,Artist,3,Average,6,Cat_6
44,459123,Female,Yes,86,No,Artist,1,High,2,Cat_6
45,459130,Female,Yes,74,No,Lawyer,1,High,2,Cat_6
46,459132,Male,No,23,No,Entertainment,6,Low,2,Cat_6
47,459136,Male,Yes,47,Yes,Artist,0,Average,2,Cat_6
48,459140,Female,No,19,No,Healthcare,7,Low,6,Cat_6
49,459143,Male,Yes,50,No,Artist,0,High,4,Cat_6
50,459144,Male,Yes,80,Yes,Lawyer,2,High,2,Cat_6
51,459145,Male,Yes,78,No,Lawyer,2,Low,1,Cat_2
52,459150,Female,No,48,Yes,Doctor,0,Low,1,Cat_6
53,459160,Male,Yes,70,Yes,Doctor,1,Average,2,Cat_6
54,459161,Male,Yes,50,Yes,Executive,3,High,5,Cat_6
55,459162,Female,Yes,83,Yes,Lawyer,0,High,2,Cat_6
56,459163,Male,No,35,Yes,Entertainment,0,Low,1,Cat_6
57,459167,Female,No,36,Yes,Artist,0,Low,2,Cat_5
58,459170,Female,No,35,Yes,Artist,1,Low,1,Cat_6
59,459171,Male,Yes,35,Yes,Artist,0,Average,2,Cat_6
60,459172,Male,No,18,No,Healthcare,3,Low,3,Cat_2
61,459175,Female,Yes,73,Yes,Artist,1,Average,2,Cat_6
62,459181,Male,Yes,62,No,Artist,1,High,3,Cat_6
63,459182,Female,Yes,46,Yes,Artist,1,Average,2,Cat_6
64,459184,Male,Yes,43,Yes,Entertainment,0,Low,4,Cat_4
65,459185,Female,No,32,Yes,Entertainment,7,Low,1,Cat_6
66,459193,Male,No,39,Yes,Artist,0,Low,1,Cat_6
67,459194,Female,Yes,89,Yes,Lawyer,0,High,2,Cat_6
68,459196,Female,No,18,No,Healthcare,0,Low,3,Cat_4
69,459208,Female,Yes,57,Yes,Artist,0,High,2,Cat_3
70,459209,Female,No,18,No,Entertainment,0,Low,4,Cat_6
71,459210,Female,Yes,71,Yes,Artist,1,High,2,Cat_6
72,459212,Female,Yes,69,Yes,Artist,0,Average,2,Cat_6
73,459213,Female,No,42,Yes,Healthcare,0,Low,4,Cat_6
74,459216,Female,No,36,Yes,Artist,0,Low,2,Cat_6
75,459220,Female,Yes,80,Yes,Lawyer,1,High,2,Cat_6
76,459221,Male,Yes,69,No,Entertainment,2,Low,1,Cat_6
77,459222,Female,Yes,67,Yes,Artist,0,Average,3,Cat_6
78,459223,Female,Yes,47,Yes,Doctor,1,Average,4,Cat_6
79,459224,Female,Yes,49,Yes,Artist,0,Average,2,Cat_6
80,459227,Female,Yes,32,No,Engineer,9,Low,4,Cat_6
81,459229,Female,Yes,65,Yes,Lawyer,1,Average,4,Cat_6
82,459236,Female,Yes,78,No,Lawyer,0,High,2,Cat_6
83,459237,Male,No,33,Yes,Artist,1,Low,6,Cat_6
84,459244,Male,Yes,48,Yes,Artist,1,Low,1,Cat_6
